iter	MultiClass
149	0.9512219689
150	0.9499731053
151	0.9485822832
152	0.94750882
153	0.9457310419
154	0.9433702547
155	0.9416966548
156	0.9401481779
157	0.9388626459
158	0.9369339377
159	0.9354859942
160	0.9338057133
161	0.9326985977
162	0.9309404903
163	0.9298290407
164	0.9284682458
165	0.9262034546
166	0.9246192953
167	0.9231910121
168	0.9220394223
169	0.9205394145
170	0.9187940936
171	0.9175615299
172	0.9162631926
173	0.9147495185
174	0.9138979695
175	0.9125957647
176	0.9108346783
177	0.9095846134
178	0.9088153156
179	0.9078572878
180	0.9060818079
181	0.9047776997
182	0.9033960497
183	0.9023305965
184	0.9015444395
185	0.9003014082
186	0.8981265251
187	0.8970050458
188	0.8958661211
189	0.8944086854
190	0.8932035758
191	0.8918079696
192	0.8906203721
193	0.8893845862
194	0.8878338488
195	0.8870993547
196	0.886123948
197	0.8853190267
198	0.8837966919
199	0.8827220694
200	0.8811341738
201	0.8802315039
202	0.8791171476
203	0.8780361947
204	0.8772504226
205	0.8761595469
206	0.8750075193
207	0.8736693715
208	0.8728456637
209	0.871829765
210	0.8707463281
211	0.8694650194
212	0.8684347719
213	0.8673845805
214	0.8662159018
215	0.8650371102
216	0.8640693215
217	0.8629336171
218	0.8621709653
219	0.8611862882
220	0.8599313937
221	0.8590588736
222	0.8582425716
223	0.8574466457
224	0.8559996084
225	0.8552717763
226	0.8545745556
227	0.8538808846
228	0.8519221232
229	0.8512240738
230	0.8502569824
231	0.8493607548
232	0.8486079406
233	0.8478942584
234	0.8457425222
235	0.8449765
236	0.8440346122
237	0.8428412901
238	0.8419992784
239	0.8406386359
240	0.8396779153
241	0.8388391555
242	0.837302398
243	0.8363240034
244	0.8354449986
245	0.8345270625
246	0.8336783749
247	0.8323754719
248	0.8315655283
249	0.8304693434
250	0.8295688678
251	0.828908294
252	0.8281752576
253	0.8276303536
254	0.8271212969
255	0.8259271214
256	0.8246014548
257	0.823181261
258	0.8225557342
259	0.821562728
260	0.8208753456
261	0.8198211888
262	0.8191039254
263	0.8185597145
264	0.8167791534
265	0.8159018578
266	0.8150722339
267	0.8141309168
268	0.8135286456
269	0.8123765373
270	0.8115835079
271	0.8109620133
272	0.8103005771
273	0.8097113717
274	0.8090667131
275	0.8082274202
276	0.8071486009
277	0.806336345
278	0.8046930943
279	0.804141133
280	0.8033213648
281	0.8025278496
282	0.8018285072
283	0.8010529947
284	0.800468952
285	0.7998156168
286	0.7992800498
287	0.7985290817
288	0.797919448
289	0.7973626289
290	0.7962538369
291	0.7949550191
292	0.7945422656
293	0.7939855309
294	0.7932678953
295	0.7916110181
296	0.7908406446
297	0.7903927815
298	0.7897440829
299	0.7892230867
300	0.7881503151
301	0.7874412855
302	0.7869973061
303	0.7861894569
304	0.7857046571
305	0.7850594824
306	0.7845055668
307	0.7835615263
308	0.782465249
309	0.781935497
310	0.7813254173
311	0.780717061
312	0.7800377725
313	0.7792083686
314	0.7787250607
315	0.7778632595
316	0.7774371681
317	0.7765302285
318	0.7756501165
319	0.7750367329
320	0.7742308114
321	0.7735675259
322	0.7731327378
323	0.7726020353
324	0.7722016601
325	0.7718135824
326	0.771411923
327	0.7707415615
328	0.7700655788
329	0.769626467
330	0.769036405
331	0.7685648439
332	0.7681280859
333	0.7673928339
334	0.766994345
335	0.7664682511
336	0.7659733646
337	0.7649019854
338	0.7635671315
339	0.7629171393
340	0.7625246337
341	0.7622365897
342	0.7618826061
343	0.7613158396
344	0.7608568131
345	0.760438816
346	0.7599597161
347	0.7594848912
348	0.7589440575
349	0.7584185075
350	0.757994989
351	0.7574902016
352	0.7570154141
353	0.7563383527
354	0.7556902652
355	0.7552915971
356	0.7548172221
357	0.7541843794
358	0.7534023121
359	0.7525002146
360	0.7521563277
361	0.7515414282
362	0.7510393758
363	0.7499204276
364	0.7494616527
365	0.7488671489
366	0.7483652729
367	0.7480625376
368	0.7476763455
369	0.7470865234
370	0.74656695
371	0.7461995088
372	0.7455208518
373	0.7451372206
374	0.7448047005
375	0.7445322096
376	0.7439169847
377	0.7433849552
378	0.7428765932
379	0.7416927236
380	0.7413095891
381	0.7408504402
382	0.7402641008
383	0.7396708793
384	0.739257885
385	0.7384811965
386	0.7381062768
387	0.7376763252
388	0.7373480878
389	0.7365391149
390	0.736230092
391	0.735430108
392	0.7347115934
393	0.7342894314
394	0.7339183347
395	0.7333402499
396	0.7329672291
397	0.7323716438
398	0.7320775419
399	0.7316308124
